network,network_label,section_id,model,expert_type,run_id,pair_id,source,target,prompt_id,protocol,raw_score
cancer_simultaneous_symptoms,Cancer Simultaneous Symptoms,2.3,ChatGPT 4.0,llm_simulated_expert,run_001,cancer_simultaneous_symptoms_pair_001,Fatigue,Shortness of Breath,docx_llm_survey_v1,ordering_based,6
cancer_simultaneous_symptoms,Cancer Simultaneous Symptoms,2.3,ChatGPT 4.0,llm_simulated_expert,run_001,cancer_simultaneous_symptoms_pair_002,Anxiety,Nausea,docx_llm_survey_v1,ordering_based,6
cancer_simultaneous_symptoms,Cancer Simultaneous Symptoms,2.3,ChatGPT 4.0,llm_simulated_expert,run_001,cancer_simultaneous_symptoms_pair_003,Fatigue,Dry Mouth,docx_llm_survey_v1,ordering_based,4
cancer_simultaneous_symptoms,Cancer Simultaneous Symptoms,2.3,ChatGPT 4.0,llm_simulated_expert,run_001,cancer_simultaneous_symptoms_pair_004,Anxiety,Pain,docx_llm_survey_v1,ordering_based,4
cancer_simultaneous_symptoms,Cancer Simultaneous Symptoms,2.3,ChatGPT 4.0,llm_simulated_expert,run_001,cancer_simultaneous_symptoms_pair_005,Fatigue,Anxiety,docx_llm_survey_v1,ordering_based,5
cancer_simultaneous_symptoms,Cancer Simultaneous Symptoms,2.3,ChatGPT 4.0,llm_simulated_expert,run_001,cancer_simultaneous_symptoms_pair_006,Anxiety,Sleeping Problems,docx_llm_survey_v1,ordering_based,9
cancer_simultaneous_symptoms,Cancer Simultaneous Symptoms,2.3,ChatGPT 4.0,llm_simulated_expert,run_001,cancer_simultaneous_symptoms_pair_007,Fatigue,Depressed Mood,docx_llm_survey_v1,ordering_based,7
cancer_simultaneous_symptoms,Cancer Simultaneous Symptoms,2.3,ChatGPT 4.0,llm_simulated_expert,run_001,cancer_simultaneous_symptoms_pair_008,Anxiety,Constipation,docx_llm_survey_v1,ordering_based,3
cancer_simultaneous_symptoms,Cancer Simultaneous Symptoms,2.3,ChatGPT 4.0,llm_simulated_expert,run_001,cancer_simultaneous_symptoms_pair_009,Fatigue,Nausea,docx_llm_survey_v1,ordering_based,4
cancer_simultaneous_symptoms,Cancer Simultaneous Symptoms,2.3,ChatGPT 4.0,llm_simulated_expert,run_001,cancer_simultaneous_symptoms_pair_010,Anxiety,Dysphagia,docx_llm_survey_v1,ordering_based,5
cancer_simultaneous_symptoms,Cancer Simultaneous Symptoms,2.3,ChatGPT 4.0,llm_simulated_expert,run_001,cancer_simultaneous_symptoms_pair_011,Fatigue,Pain,docx_llm_survey_v1,ordering_based,6
cancer_simultaneous_symptoms,Cancer Simultaneous Symptoms,2.3,ChatGPT 4.0,llm_simulated_expert,run_001,cancer_simultaneous_symptoms_pair_012,Anxiety,Lack of Appetite,docx_llm_survey_v1,ordering_based,6
cancer_simultaneous_symptoms,Cancer Simultaneous Symptoms,2.3,ChatGPT 4.0,llm_simulated_expert,run_001,cancer_simultaneous_symptoms_pair_013,Fatigue,Sleeping Problems,docx_llm_survey_v1,ordering_based,8
cancer_simultaneous_symptoms,Cancer Simultaneous Symptoms,2.3,ChatGPT 4.0,llm_simulated_expert,run_001,cancer_simultaneous_symptoms_pair_014,Depressed Mood,Nausea,docx_llm_survey_v1,ordering_based,4
