network,network_label,section_id,model,expert_type,run_id,pair_id,source,target,prompt_id,protocol,raw_score
hip_fracture,Hip Fracture,2.2,ChatGPT 4.0,llm_simulated_expert,run_001,hip_fracture_pair_001,Age,BMI (Body Mass Index),docx_llm_survey_v1,ordering_based,3
hip_fracture,Hip Fracture,2.2,ChatGPT 4.0,llm_simulated_expert,run_001,hip_fracture_pair_002,History of Fracture (personal/parental),Psychotropic Drug Use,docx_llm_survey_v1,ordering_based,0
hip_fracture,Hip Fracture,2.2,ChatGPT 4.0,llm_simulated_expert,run_001,hip_fracture_pair_003,Age,Bone Mineral Density (BMD),docx_llm_survey_v1,ordering_based,8
hip_fracture,Hip Fracture,2.2,ChatGPT 4.0,llm_simulated_expert,run_001,hip_fracture_pair_004,History of Fracture (personal/parental),5 Times Sit-to-Stand (5TSTS),docx_llm_survey_v1,ordering_based,3
hip_fracture,Hip Fracture,2.2,ChatGPT 4.0,llm_simulated_expert,run_001,hip_fracture_pair_005,Age,History of Fracture (personal/parental),docx_llm_survey_v1,ordering_based,6
hip_fracture,Hip Fracture,2.2,ChatGPT 4.0,llm_simulated_expert,run_001,hip_fracture_pair_006,History of Fracture (personal/parental),Gait Speed,docx_llm_survey_v1,ordering_based,3
hip_fracture,Hip Fracture,2.2,ChatGPT 4.0,llm_simulated_expert,run_001,hip_fracture_pair_007,Age,Vitamin D Use,docx_llm_survey_v1,ordering_based,4
hip_fracture,Hip Fracture,2.2,ChatGPT 4.0,llm_simulated_expert,run_001,hip_fracture_pair_008,History of Fracture (personal/parental),History of Falls,docx_llm_survey_v1,ordering_based,4
hip_fracture,Hip Fracture,2.2,ChatGPT 4.0,llm_simulated_expert,run_001,hip_fracture_pair_009,Age,Chronic Diseases,docx_llm_survey_v1,ordering_based,9
hip_fracture,Hip Fracture,2.2,ChatGPT 4.0,llm_simulated_expert,run_001,hip_fracture_pair_010,History of Fracture (personal/parental),Hip Fracture,docx_llm_survey_v1,ordering_based,6
hip_fracture,Hip Fracture,2.2,ChatGPT 4.0,llm_simulated_expert,run_001,hip_fracture_pair_011,Age,Glucocorticoid (GC) Use,docx_llm_survey_v1,ordering_based,3
hip_fracture,Hip Fracture,2.2,ChatGPT 4.0,llm_simulated_expert,run_001,hip_fracture_pair_012,Vitamin D Use,Chronic Diseases,docx_llm_survey_v1,ordering_based,0
hip_fracture,Hip Fracture,2.2,ChatGPT 4.0,llm_simulated_expert,run_001,hip_fracture_pair_013,Age,Psychotropic Drug Use,docx_llm_survey_v1,ordering_based,4
hip_fracture,Hip Fracture,2.2,ChatGPT 4.0,llm_simulated_expert,run_001,hip_fracture_pair_014,Vitamin D Use,Glucocorticoid (GC) Use,docx_llm_survey_v1,ordering_based,0
hip_fracture,Hip Fracture,2.2,ChatGPT 4.0,llm_simulated_expert,run_001,hip_fracture_pair_015,Age,5 Times Sit-to-Stand (5TSTS),docx_llm_survey_v1,ordering_based,8
