network,network_label,section_id,model,expert_type,run_id,pair_id,source,target,prompt_id,protocol,raw_score
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_001,Supplies,Equipment,docx_llm_survey_v1,ordering_based,3
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_002,Solutions,Sales,docx_llm_survey_v1,ordering_based,7
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_003,Supplies,Training,docx_llm_survey_v1,ordering_based,1
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_004,Solutions,Overall Satisfaction,docx_llm_survey_v1,ordering_based,8
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_005,Supplies,Portal,docx_llm_survey_v1,ordering_based,0
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_006,Solutions,Best Supplier,docx_llm_survey_v1,ordering_based,7
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_007,Supplies,Solutions,docx_llm_survey_v1,ordering_based,4
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_008,Solutions,Country,docx_llm_survey_v1,ordering_based,0
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_009,Supplies,Technical Support,docx_llm_survey_v1,ordering_based,2
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_010,Solutions,Satisfaction from Improvement,docx_llm_survey_v1,ordering_based,7
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_011,Supplies,Admin and Support,docx_llm_survey_v1,ordering_based,2
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_012,Solutions,Recommendation,docx_llm_survey_v1,ordering_based,7
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_013,Supplies,Terms and Conditions,docx_llm_survey_v1,ordering_based,0
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_014,Solutions,Repurchasing,docx_llm_survey_v1,ordering_based,8
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_015,Supplies,Sales,docx_llm_survey_v1,ordering_based,5
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_016,Technical Support,Admin and Support,docx_llm_survey_v1,ordering_based,5
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_017,Supplies,Overall Satisfaction,docx_llm_survey_v1,ordering_based,7
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_018,Technical Support,Terms and Conditions,docx_llm_survey_v1,ordering_based,4
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_019,Supplies,Best Supplier,docx_llm_survey_v1,ordering_based,6
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_020,Technical Support,Sales,docx_llm_survey_v1,ordering_based,6
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_021,Supplies,Country,docx_llm_survey_v1,ordering_based,0
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_022,Technical Support,Overall Satisfaction,docx_llm_survey_v1,ordering_based,8
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_023,Supplies,Satisfaction from Improvement,docx_llm_survey_v1,ordering_based,4
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_024,Technical Support,Best Supplier,docx_llm_survey_v1,ordering_based,7
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_025,Supplies,Recommendation,docx_llm_survey_v1,ordering_based,6
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_026,Technical Support,Country,docx_llm_survey_v1,ordering_based,0
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_027,Supplies,Repurchasing,docx_llm_survey_v1,ordering_based,8
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_028,Technical Support,Satisfaction from Improvement,docx_llm_survey_v1,ordering_based,6
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_029,Equipment,Training,docx_llm_survey_v1,ordering_based,7
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_030,Technical Support,Recommendation,docx_llm_survey_v1,ordering_based,7
customer_satisfaction,Customer Satisfaction,2.9,ChatGPT 4.0,llm_simulated_expert,run_001,customer_satisfaction_pair_031,Equipment,Portal,docx_llm_survey_v1,ordering_based,2
